Label,Cluster,Color
CP2C1.RABIT/30-487,0,#2f4f4f
CP11A.BOVIN/52-510,1,#556b2f
CP11A.HUMAN/52-511,1,#556b2f
CP11A.ONCMY/50-507,1,#556b2f
CP3A1.RAT/39-494,2,#8b4513
CP3A6.RABIT/37-491,2,#8b4513
CP4C1.BLADI/37-502,3,#2e8b57
CP4D1.DROME/34-507,3,#2e8b57
CP2A1.RAT/33-489,4,#228b22
CP2B1.RAT/31-488,4,#228b22
CP2F1.HUMAN/31-488,4,#228b22
CP2G1.RABIT/34-491,4,#228b22
CP17A.BOVIN/28-493,5,#708090
CP17A.HUMAN/28-493,5,#708090
CP17A.MOUSE/28-492,5,#708090
C75A2.SOLME/37-498,6,#8b0000
C76A2.SOLME/36-500,6,#8b0000
C77A1.SOLME/28-497,6,#8b0000
C77A2.SOLME/43-509,6,#8b0000
TCMO.HELTU/34-499,6,#8b0000
CP2D4.RAT/37-497,7,#808000
CP19A.CHICK/47-487,8,#483d8b
CP19A.MOUSE/48-488,8,#483d8b
CP6A1.MUSDO/35-500,9,#008080
CP6A2.DROME/32-502,9,#008080
CP6B1.PAPPO/31-495,9,#008080
CP270.RAT/30-486,10,#b8860b
CP2D1.RAT/37-497,11,#4682b4
CP4F1.RAT/52-515,12,#d2691e
CP4F3.HUMAN/52-515,12,#d2691e
CP27A.HUMAN/61-526,14,#800080
CP17A.CHICK/33-496,13,#32cd32
CP17A.ONCMY/34-500,13,#32cd32
C11B2.MOUSE/42-496,14,#800080
C11B1.BOVIN/42-499,14,#800080
CP7A1.HUMAN/32-497,11,#4682b4
CP4A2.RAT/52-499,15,#9932cc
CP4AA.RAT/52-504,15,#9932cc
CP4B1.HUMAN/47-501,15,#9932cc
CP2CN.RAT/34-491,10,#b8860b
CP51.YEAST/57-521,11,#4682b4
CP2C7.RAT/30-487,16,#ff8c00
CP2CC.RAT/30-487,16,#ff8c00
CP2C3.RABIT/30-486,10,#b8860b
G3XMQ0.ASPNA/36-509,17,#0000cd
PID6.FUSSO/51-503,17,#0000cd
CPXI.BACMB/12-406,7,#808000
CP2DE.BOVIN/37-497,7,#808000
CP2H1.CHICK/33-488,0,#2f4f4f
CP2E1.HUMAN/33-489,0,#2f4f4f
