Label,Cluster,Color,PassOne,PassOneCol
M2UU11.COCH5/80-507,0.0,#2f4f4f,0,#2f4f4f
A8AEZ8.CITK8/574-966,1,#556b2f,1,#556b2f
E3FL94.STIAD/539-937,1,#556b2f,1,#556b2f
G3XCV2.PSEAE/563-950,1,#556b2f,1,#556b2f
MBTB.MYCTU/558-951,1,#556b2f,1,#556b2f
O69826.STRCO/551-953,1,#556b2f,1,#556b2f
Q9HWG4.PSEAE/520-915,1,#556b2f,1,#556b2f
4CL2.ORYSJ/47-473,2.0,#8b4513,2,#8b4513
ACSA.COPC7/91-531,3,#2e8b57,3,#2e8b57
ACSA.MOUSE/108-575,3,#2e8b57,3,#2e8b57
ACSA.MYCTU/83-530,3,#2e8b57,3,#2e8b57
F4BX08.METSG/107-551,3,#2e8b57,3,#2e8b57
M1BSV4.SOLTU/217-657,3,#2e8b57,3,#2e8b57
O29286.ARCFU/39-452,3,#2e8b57,3,#2e8b57
O29580.ARCFU/62-517,3,#2e8b57,3,#2e8b57
O29881.ARCFU/89-548,3,#2e8b57,3,#2e8b57
Q18496.CAEEL/100-554,3,#2e8b57,3,#2e8b57
Q5CS85.CRYPI/121-560,3,#2e8b57,3,#2e8b57
Q6NC13.RHOPA/23-429,3,#2e8b57,3,#2e8b57
AAE12.ARATH/20-449,4.0,#228b22,4,#228b22
FAC13.MYCTU/11-404,5.0,#708090,5,#708090
A0QNF1.MYCS2/31-438,6.0,#8b0000,6,#8b0000
E2Q5R1.STRC2/268-683,7.0,#808000,7,#808000
ACSL3.RAT/115-587,8,#483d8b,8,#483d8b
ACSL4.HUMAN/106-578,8,#483d8b,8,#483d8b
LACS8.ARATH/110-588,8,#483d8b,8,#483d8b
LCF1.SCHPO/77-541,8,#483d8b,8,#483d8b
Q18660.CAEEL/118-587,8,#483d8b,8,#483d8b
Q20121.CAEEL/122-594,8,#483d8b,8,#483d8b
Q8T3L1.DROME/114-582,8,#483d8b,8,#483d8b
